review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,Recebi bem antes do prazo estipulado.,2017-04-21 00:00:00,2017-04-21 22:02:06
2685a4800004a12ec09d27264ff1915f,5c973d2b4652e1dec15353b59339f3b4,5,,Recomendo a todos os clientes,2016-10-22 00:00:00,2016-10-26 17:47:19
ab296dbde37f94824e4290893c67f917,163dbb9a9e122705518ab2735e1c6008,5,,,2018-04-22 00:00:00,2018-04-24 18:35:52
3ed2fb4d3cc7862bfa63bc388fe9435f,fa77b4aa91c0a9f2bc533e0dc380d9c2,4,,,2018-08-11 00:00:00,2018-08-13 13:48:01
678e365210564367e0492d100b977f0b,496b982d1f2a1315fcbf81ae2fed02a4,5,,,2017-06-07 00:00:00,2017-06-09 19:26:56
0185df4755be7045d22b951fba4a4b58,e5700a52207ef266413e9f43a7b0d5f6,5,,,2018-08-24 00:00:00,2018-08-26 22:08:46
4ab6671319156f978e972e2ac2c48ad8,897fab0704eda65c69520010b02a3fee,4,,,2018-05-19 00:00:00,2018-05-21 12:29:51
dc92cf357f5eb4d61b6a95fed53d17e1,c277dea251cfd74bf121060769a7135a,5,,Entrega bem antes do prazo perfeito!!,2018-08-14 00:00:00,2018-08-15 17:18:14
72d7f0156c76c07c3dc9f9e04bf543d9,3dd70a36f5f41e56af19f4948fdc0745,4,,,2018-01-13 00:00:00,2018-01-16 11:36:32
957011305e7a4b6c8a266eeeb8e0316d,54b4da510fed5dc3cf3e7a8e50a5f224,4,,,2018-03-10 00:00:00,2018-03-10 23:35:51
a6bc40c95bd18c5647ec3730af377433,6649d935be7a1df58b2dc3754fb17379,5,,,2017-08-02 00:00:00,2017-08-03 13:55:16
645e0b533dd83397a07db50af11b3fff,359dfdef7cf4ed1003c2a0463eb431ba,5,,,2018-08-09 00:00:00,2018-08-12 01:43:29
505a882ba08a689682a4afc6eb4e5965,1c308eca3f339414a92e518e2a2e5ee9,2,,,2017-12-28 00:00:00,2017-12-31 20:25:02
a0f06329e17ec2ed630c056bbdefdb90,6e7c58476aeeb4f0a2313cdd43477570,5,,,2017-07-26 00:00:00,2017-07-31 15:38:08
b66f1f980a4832698b613bcce72bb779,0de5dbc9f3226761687d84b54057efba,4,,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",2017-08-29 00:00:00,2017-08-30 01:38:53
c374da82d5c67281544168e3cfb22be3,73bf036e9d518e060d6f766d816483cb,5,,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",2018-03-22 00:00:00,2018-03-22 21:32:12
30b54835fe8c1a326303cafbed4d189f,838eddbec488679c7db905429c5163f7,5,,,2018-05-24 00:00:00,2018-05-24 14:13:48
2cc3122c7a438a1e2b38cfe2b309c401,fe4ee6f5250415b2264eac9693949e2f,5,,,2018-02-16 00:00:00,2018-02-19 17:53:53
9e7431393db15c66d3441e13b69845b4,b599b60a3fa09e7a4003eb264aa99a07,5,,,2017-10-15 01:00:00,2017-10-16 01:36:43
13af9d6501d608374c69d002c6b37ce1,290d464dc4d780ddcd120552cf21c640,5,,entrega rapida,2017-09-30 00:00:00,2017-10-03 12:25:06
bc50b08a79b2f5729c815cf3c3d2ba39,0713f1dd3cdb0f62e71d9a1f01c2bc0b,5,,,2017-08-11 00:00:00,2017-08-12 00:11:06
05c968cc75440c647f58e6bfe1ee15bb,27a7ac440630f9de788e4d66e72c6424,4,,,2017-05-03 00:00:00,2017-05-04 01:11:07
87b877372ded0fe3bb0a5701e9291005,9ab7e83865799ba29a85d51263a137cd,5,,,2018-05-12 00:00:00,2018-05-16 06:30:04
8fab6f3f76f51208efe7f36c23734369,bdd388b78e095998453503c63b83e280,5,,,2017-12-05 00:00:00,2017-12-05 20:56:14
c231a7912afb5ece647e5ba06805b3da,d2f4bbcf8e2d36f9e13fba6a75c7269a,5,,"Muito Bom , exelente",2018-03-30 00:00:00,2018-03-30 14:40:52
3581da46127f3ddd55a8c645fb97109c,6b4063646aa51aca70fd0c745ded2155,5,,,2018-02-17 00:00:00,2018-02-17 21:37:56
4d26fa37a1e5d23b0d477f2c080a69c3,5eee79207209ec0e102581f289e2a6db,1,,"Boa tarde! 
Tive problemas com meu pedido sim! 
Veio o mosqueteiro errado. 
Pedi um de tamanho Queen, que arrastasse até o chão e com o círculo em cima bem grande. Veio pequeno de cama de casal nor",2018-01-14 00:00:00,2018-01-17 16:40:38
1c036db1a8f4f0b4a900e227cd87383d,fcc0c3371e0af4947b6b4c013ecc6e35,4,,O produto chegou conforme anunciado. Gostei.,2018-02-03 00:00:00,2018-02-03 22:38:34
8adaa7d1f033a89f30ea7ab88182764b,6f3bcb56b24abe9303122deb9ab78295,5,,,2017-06-08 00:00:00,2017-06-11 12:32:01
55ca7c477480ed3355aa48d35e4c8128,dfe489c4a4bbe366cd2217b8503d206b,5,,,2017-12-13 00:00:00,2017-12-17 23:28:09
0cfbae37fe8a71519696f3589a4050bb,800e1eb8758f73d800f1a4c6fbad186b,1,,"Recebi apenas 1 detector de metal e a compra foram de 2 unidades. Como podemos resolver isso?
Aguardo orientações.
",2018-03-14 00:00:00,2018-03-15 11:57:51
ffba674dbbc0250e36889712458d81f3,f3c7f31502a61f206c30c674a4ada401,1,,Vcs tá deixando a desejar comprei produtos com vcs e vcs demora entregar e ainda cancela o pedido sem autorização ,2017-06-11 00:00:00,2017-06-20 00:22:07
a2f5682d3a0e84dfee20d6d69c4a5452,0b8dbb26699a171be239666299d2174f,4,,,2017-03-29 00:00:00,2017-04-04 11:18:39
4c473561a45ac9ea4ccf3868ffb8a75f,f82746601c1969d00d63e14a786f322d,5,Ok,Mercadoria conforme foi pedido. Chegou antes do prazo. Recomendo!,2018-08-30 00:00:00,2018-08-31 01:55:05
a15fe0724eabf59b8abe61354c8c1c9c,a68f7b681559723c84a5a758d62be473,4,,"Bom, a resma chegou muitobem embalada, dentro do prazo e afora vamos testar para verificar a qualidade do papel.",2017-04-11 00:00:00,2017-04-12 02:22:21
6f4bf5dbef6e28551038b54100560a4e,787590b924b0ef0a1da6164beb46a05d,3,,,2018-08-18 00:00:00,2018-09-15 00:53:25
20b37cf03df493a53443f4e2d59f4788,364ea3582bbe134bec58a6e192aa6390,5,,,2018-07-01 00:00:00,2018-07-01 14:26:45
f2443dba3712367285105aeab6c2d89f,11b2c36a481a4272681684f4b09ffabe,5,,parabenizo pela qualidade do produto e pontualidade na entrega..,2018-08-10 00:00:00,2018-08-17 11:26:10
d1e7de71d02ce65bb1cc80e57b732c77,75769af508ae5e105845b3b4813fa07a,5,,Bom,2017-05-28 00:00:00,2017-05-29 09:34:57
668fcfc39b15a8751fd9f9c3721c6533,a0d3b62390e72dcfd8fc6b29c1af0061,5,´´Otimo,Muito obrigada,2018-08-18 00:00:00,2018-09-10 16:59:46
ecd30ad71b1a6be967f483f490915fb1,a5a854651cfe0d8da9f1669266fd4063,1,Você paga 2 e recebe 1,"ROUBO! Na nota fiscal são 2 unidades mas no embrulho vem apenas UMA.
Querem cobrar sem entregar?",2018-05-15 00:00:00,2018-05-16 01:04:52
8b966e3d0515ad0d17b1f925a70f890c,261e71d2349c713eafa9f3df5972b95d,5,,Excelente.,2018-01-31 00:00:00,2018-02-02 22:37:57
f02d6b5f490416cabfaec3866e384f48,ed82d3384df9ca70bcd946e63d8d172b,5,,,2018-03-27 00:00:00,2018-03-28 00:36:47
8ea6704aa2159a173d862db54016e6e1,016e4acfc34b9f2abc69795f47c92f0e,5,,,2017-09-19 00:00:00,2017-09-21 22:00:26
